obsname	n_sur	n_pre	sratio	pratio	nlen	is_multimatch
DEL CORRAL	8.5	0.5	17.0	0.058823529411764705	2	True
DE VIGO	6.5	0.5	13.0	0.07692307692307693	2	True
DE LA HOZ	6.5	0.5	13.0	0.07692307692307693	3	True
SIMPSON	6.5	0.5	13.0	0.07692307692307693	1	False
DEL VALLE	6.5	0.5	13.0	0.07692307692307693	2	True
SALAZAR	6.5	0.5	13.0	0.07692307692307693	1	False
DE_LA_ROSA	6.5	0.5	13.0	0.07692307692307693	1	False
DE LA BARRERA	4.5	0.5	9.0	0.1111111111111111	3	True
SUAREZ	4.5	0.5	9.0	0.1111111111111111	1	False
PEREZ	4.5	0.5	9.0	0.1111111111111111	1	False
DEL PINO	4.5	0.5	9.0	0.1111111111111111	2	True
BOUVIER	4.5	0.5	9.0	0.1111111111111111	1	False
DE LAS CASAS	4.5	0.5	9.0	0.1111111111111111	3	True
VARON	4.5	0.5	9.0	0.1111111111111111	1	False
DEL RIO	4.5	0.5	9.0	0.1111111111111111	2	True
DE LA MORA	4.5	0.5	9.0	0.1111111111111111	3	True
DE LA CUEVA	2.5	0.5	5.0	0.2	3	True
DEL_NINO_JESUS	2.5	0.5	5.0	0.2	1	False
YEPES	2.5	0.5	5.0	0.2	1	False
GONZALES	2.5	0.5	5.0	0.2	1	False
ZULETA	2.5	0.5	5.0	0.2	1	False
DE LA CRUZ	2.5	0.5	5.0	0.2	3	True
DE LA OSSA	2.5	0.5	5.0	0.2	3	True
DEL CORAL	2.5	0.5	5.0	0.2	2	True
DE LA PARRA	2.5	0.5	5.0	0.2	3	True
DE LA ESPRIELLA	2.5	0.5	5.0	0.2	3	True
DE LEON	2.5	0.5	5.0	0.2	2	True
GOMEZ	2.5	0.5	5.0	0.2	1	False
LAVERDE	2.5	0.5	5.0	0.2	1	False
DE LA CALLE	2.5	0.5	5.0	0.2	3	True
DEL ARCO	2.5	0.5	5.0	0.2	2	True
OLSEN	2.5	0.5	5.0	0.2	1	False
GURNEY	2.5	0.5	5.0	0.2	1	False
DE LA ROCHE	2.5	0.5	5.0	0.2	3	True
DEL ROZAL	2.5	0.5	5.0	0.2	2	True
DE LA VEGA	2.5	0.5	5.0	0.2	3	True
DE_LA_TORRE	2.5	0.5	5.0	0.2	1	False
GARCIA	2.5	0.5	5.0	0.2	1	False
DE LA GUARDIA	2.5	0.5	5.0	0.2	3	True
DE_LA_PAZ	2.5	0.5	5.0	0.2	1	False
DEL BOSQUE	2.5	0.5	5.0	0.2	2	True
CORTES	2.5	0.5	5.0	0.2	1	False
	0.5	0.5	1.0	1.0	0	False
FELIPE	0.5	6.5	0.07692307692307693	13.0	1	False
MARIA	0.5	4.5	0.1111111111111111	9.0	1	False
VICTOR	0.5	4.5	0.1111111111111111	9.0	1	False
FERNANDO	0.5	4.5	0.1111111111111111	9.0	1	False
DE_SIMPSON	0.5	4.5	0.1111111111111111	9.0	1	False
DE_DE_LAS_CASAS	0.5	4.5	0.1111111111111111	9.0	1	False
DORA	0.5	2.5	0.2	5.0	1	False
ALFONSO	0.5	2.5	0.2	5.0	1	False
DE_DEL_VALLE	0.5	2.5	0.2	5.0	1	False
ANDREA	0.5	2.5	0.2	5.0	1	False
CARLOS	0.5	2.5	0.2	5.0	1	False
JUAN	0.5	2.5	0.2	5.0	1	False
CARLOTA	0.5	2.5	0.2	5.0	1	False
DE_DE_LA_HOZ	0.5	2.5	0.2	5.0	1	False
KAREN	0.5	2.5	0.2	5.0	1	False
DE_DE_LA_BARRERA	0.5	2.5	0.2	5.0	1	False
ANDRES	0.5	2.5	0.2	5.0	1	False
DE_DEL_NINO_JESUS	0.5	2.5	0.2	5.0	1	False
ARMANDO	0.5	2.5	0.2	5.0	1	False
LUIS	0.5	2.5	0.2	5.0	1	False
FEDERICO	0.5	2.5	0.2	5.0	1	False
DE_DEL_PINO	0.5	2.5	0.2	5.0	1	False
RAMONA	0.5	2.5	0.2	5.0	1	False
ROSALBA	0.5	2.5	0.2	5.0	1	False
DE_DE_LOS_RIOS	0.5	2.5	0.2	5.0	1	False
CAMILA	0.5	2.5	0.2	5.0	1	False
MARJORIE	0.5	2.5	0.2	5.0	1	False
DE_DE	0.5	2.5	0.2	5.0	1	False
DE_SEMMA	0.5	2.5	0.2	5.0	1	False
JAY	0.5	2.5	0.2	5.0	1	False
PABLO	0.5	2.5	0.2	5.0	1	False
IVAN	0.5	2.5	0.2	5.0	1	False
LISA	0.5	2.5	0.2	5.0	1	False
PAULA	0.5	2.5	0.2	5.0	1	False
PATRICIA	0.5	2.5	0.2	5.0	1	False
EDWARD	0.5	2.5	0.2	5.0	1	False
MARGARITA	0.5	2.5	0.2	5.0	1	False
SOFIA	0.5	2.5	0.2	5.0	1	False
MARTIN	0.5	2.5	0.2	5.0	1	False
JESSICA	0.5	2.5	0.2	5.0	1	False
JAVIER	0.5	2.5	0.2	5.0	1	False
VIGO	0.5	2.5	0.2	5.0	1	False
VALENTINA	0.5	2.5	0.2	5.0	1	False
ALEJANDRO	0.5	2.5	0.2	5.0	1	False
DE_GONZALES	0.5	2.5	0.2	5.0	1	False
DE_GARCIA	0.5	2.5	0.2	5.0	1	False
FEDERICA	0.5	2.5	0.2	5.0	1	False
HOMER	0.5	2.5	0.2	5.0	1	False
MARIANA	0.5	2.5	0.2	5.0	1	False
DE_GOMEZ	0.5	2.5	0.2	5.0	1	False
CARLA	0.5	2.5	0.2	5.0	1	False
SANTIAGO	0.5	2.5	0.2	5.0	1	False
